name ,Hrs of samples ,CO2_ppm
No Vit.Min._D,47:15:00,581
Control_A,67:33:00,50284
Control_B,67:33:00,43965
Control_C,67:33:00,49770
Control_D,67:33:00,328
pH 6_A,67:33:00,54679
pH 6_B,67:33:00,51295
pH 6_C,67:33:00,55192
pH 6_D,67:33:00,904
pH 7.4_A,67:33:00,49393
pH 7.4_B,67:33:00,39786
pH 7.4_C,67:33:00,44768
pH 7.4_D,67:33:00,719
15C_A,67:33:00,34282
15C_B,67:33:00,38379
15C_C,67:33:00,33608
15C_D,67:33:00,475
30C_A,67:33:00,48881
30C_B,67:33:00,56609
30C_C,67:33:00,51070
30C_D,67:33:00,354
High Iron_A,67:33:00,51377
High Iron_B,67:33:00,499770
High Iron_C,67:33:00,52333
High Iron_D,67:33:00,642
Stagnant_A,67:33:00,5066
Stagnant_B,67:33:00,4403
Stagnant_C,67:33:00,5995
Stagnant_D,67:33:00,464
No Vit.Min._A,67:33:00,45795
No Vit.Min._B,67:33:00,35336
No Vit.Min._C,67:33:00,38053
No Vit.Min._D,67:33:00,1698
Control_A,93:33:00,48117
Control_B,93:33:00,47745
Control_C,93:33:00,41780
Control_D,93:33:00,473
pH 6_A,93:33:00,38000
pH 6_B,93:33:00,59202
pH 6_C,93:33:00,20142
pH 6_D,93:33:00,598
pH 7.4_A,93:33:00,32118
pH 7.4_B,93:33:00,43693
pH 7.4_C,93:33:00,46408
pH 7.4_D,93:33:00,471
15C_A,93:33:00,47748
15C_B,93:33:00,46362
15C_C,93:33:00,44513
15C_D,93:33:00,356
30C_A,93:33:00,41691
30C_B,93:33:00,45410
30C_C,93:33:00,42350
30C_D,93:33:00,634
High Iron_A,93:33:00,47799
High Iron_B,93:33:00,37480
High Iron_C,93:33:00,30047
High Iron_D,93:33:00,501
Stagnant_A,93:33:00,12603
Stagnant_B,93:33:00,9725
Stagnant_C,93:33:00,14383
Stagnant_D,93:33:00,1087
No Vit.Min._A,93:33:00,28021
No Vit.Min._B,93:33:00,44034
No Vit.Min._C,93:33:00,42487
No Vit.Min._D,93:33:00,44503
Control_A,117:10:00,38218
Control_B,117:10:00,44502
Control_C,117:10:00,24998
Control_D,117:10:00,455
pH 6_A,117:10:00,16358
pH 6_B,117:10:00,36325
pH 6_C,117:10:00,12091
pH 6_D,117:10:00,652
pH 7.4_A,117:10:00,20739
pH 7.4_B,117:10:00,42847
pH 7.4_C,117:10:00,39772
pH 7.4_D,117:10:00,417
15C_A,117:10:00,47094
15C_B,117:10:00,47440
15C_C,117:10:00,47770
15C_D,117:10:00,526
30C_A,117:10:00,35581
30C_B,117:10:00,39372
30C_C,117:10:00,35479
30C_D,117:10:00,769
High Iron_A,117:10:00,47032
High Iron_B,117:10:00,20366
High Iron_C,117:10:00,14457
High Iron_D,117:10:00,566
Stagnant_A,117:10:00,12822
Stagnant_B,117:10:00,15608
Stagnant_C,117:10:00,16580
Stagnant_D,117:10:00,3356
No Vit.Min._A,117:10:00,14988
No Vit.Min._B,117:10:00,39466
No Vit.Min._C,117:10:00,45994
No Vit.Min._D,117:10:00,45449
Control_A,139:40:00,30187
Control_B,139:40:00,368945
Control_C,139:40:00,18213
Control_D,139:40:00,429
pH 6_A,139:40:00,1058
pH 6_B,139:40:00,285614
pH 6_C,139:40:00,6041
pH 6_D,139:40:00,547
pH 7.4_A,139:40:00,11302
pH 7.4_B,139:40:00,39961
pH 7.4_C,139:40:00,33970
pH 7.4_D,139:40:00,477
15C_A,139:40:00,45155
15C_B,139:40:00,34666
15C_C,139:40:00,44366
15C_D,139:40:00,587
30C_A,139:40:00,30011
30C_B,139:40:00,32672
30C_C,139:40:00,26461
30C_D,139:40:00,461
High Iron_A,139:40:00,39871
High Iron_B,139:40:00,16324
High Iron_C,139:40:00,9789
High Iron_D,139:40:00,1047
Stagnant_A,139:40:00,16232
Stagnant_B,139:40:00,13792
Stagnant_C,139:40:00,18463
Stagnant_D,139:40:00,2355
No Vit.Min._A,139:40:00,9412
No Vit.Min._B,139:40:00,37193
No Vit.Min._C,139:40:00,43044
No Vit.Min._D,139:40:00,49449
Control_A,196:33:00,23975
Control_B,196:33:00,27239
Control_C,196:33:00,13635
Control_D,196:33:00,407
pH 6_A,196:33:00,3570
pH 6_B,196:33:00,16760
pH 6_C,196:33:00,5506
pH 6_D,196:33:00,606
pH 7.4_A,196:33:00,8173
pH 7.4_B,196:33:00,31417
pH 7.4_C,196:33:00,26253
pH 7.4_D,196:33:00,583
15C_A,196:33:00,35264
15C_B,196:33:00,34521
15C_C,196:33:00,40429
15C_D,196:33:00,1691
30C_A,196:33:00,23192
30C_B,196:33:00,18581
30C_C,196:33:00,17930
30C_D,196:33:00,32610
High Iron_A,196:33:00,17421
High Iron_B,196:33:00,6712
High Iron_C,196:33:00,4051
High Iron_D,196:33:00,34257
Stagnant_A,196:33:00,6048
Stagnant_B,196:33:00,23244
Stagnant_C,196:33:00,18554
Stagnant_D,196:33:00,25770
No Vit.Min._A,196:33:00,4859
No Vit.Min._B,196:33:00,26219
No Vit.Min._C,196:33:00,32572
No Vit.Min._D,196:33:00,55366
