name ,Hrs of samples ,CO2_ppm
High Iron_A,94:27:00,1893
High Iron_B,94:27:00,3186
High Iron_C,94:27:00,2632
High Iron_D,94:27:00,799
Stagnant_A,94:27:00,1664
Stagnant_B,94:27:00,1795
Stagnant_C,94:27:00,1706
Stagnant_D,94:27:00,648
No Vit.Min._A,94:27:00,3323
No Vit.Min._B,94:27:00,2911
No Vit.Min._C,94:27:00,2565
No Vit.Min._D,94:27:00,398
Control_A,115:10:00,3972
Control_B,115:10:00,7782
Control_C,115:10:00,9844
Control_D,115:10:00,955
pH 6_A,115:10:00,7823
pH 6_B,115:10:00,7000
pH 6_C,115:10:00,7672
pH 6_D,115:10:00,587
pH 7.4_A,115:10:00,1562
pH 7.4_B,115:10:00,2500
pH 7.4_C,115:10:00,2312
pH 7.4_D,115:10:00,479
15C_A,115:10:00,2940
15C_B,115:10:00,3186
15C_C,115:10:00,2786
15C_D,115:10:00,570
30C_A,115:10:00,8208
30C_B,115:10:00,4251
30C_C,115:10:00,2763
30C_D,115:10:00,1570
High Iron_A,115:10:00,2134
High Iron_B,115:10:00,3155
High Iron_C,115:10:00,3709
High Iron_D,115:10:00,935
Stagnant_A,115:10:00,1921
Stagnant_B,115:10:00,1856
Stagnant_C,115:10:00,1536
Stagnant_D,115:10:00,734
No Vit.Min._A,115:10:00,3384
No Vit.Min._B,115:10:00,2872
No Vit.Min._C,115:10:00,2740
No Vit.Min._D,115:10:00,409
Control_A,139:10:00,2354
Control_B,139:10:00,5909
Control_C,139:10:00,9109
Control_D,139:10:00,1450
pH 6_A,139:10:00,5663
pH 6_B,139:10:00,6561
pH 6_C,139:10:00,8086
pH 6_D,139:10:00,563
pH 7.4_A,139:10:00,1597
pH 7.4_B,139:10:00,2061
pH 7.4_C,139:10:00,2392
pH 7.4_D,139:10:00,469
15C_A,139:10:00,2349
15C_B,139:10:00,2889
15C_C,139:10:00,2733
15C_D,139:10:00,571
30C_A,139:10:00,24144
30C_B,139:10:00,4603
30C_C,139:10:00,3625
30C_D,139:10:00,1557
High Iron_A,139:10:00,1978
High Iron_B,139:10:00,3171
High Iron_C,139:10:00,3622
High Iron_D,139:10:00,967
Stagnant_A,139:10:00,2245
Stagnant_B,139:10:00,2150
Stagnant_C,139:10:00,1968
Stagnant_D,139:10:00,1062
No Vit.Min._A,139:10:00,3777
No Vit.Min._B,139:10:00,3764
No Vit.Min._C,139:10:00,3352
No Vit.Min._D,139:10:00,410
Control_A,163:10:00,2433
Control_B,163:10:00,3772
Control_C,163:10:00,5897
Control_D,163:10:00,1821
pH 6_A,163:10:00,2512
pH 6_B,163:10:00,5283
pH 6_C,163:10:00,4370
pH 6_D,163:10:00,866
pH 7.4_A,163:10:00,1492
pH 7.4_B,163:10:00,2007
pH 7.4_C,163:10:00,2128
pH 7.4_D,163:10:00,292
15C_A,163:10:00,1963
15C_B,163:10:00,1873
15C_C,163:10:00,1789
15C_D,163:10:00,638
30C_A,163:10:00,24141
30C_B,163:10:00,1915
30C_C,163:10:00,2844
30C_D,163:10:00,1323
High Iron_A,163:10:00,1542
High Iron_B,163:10:00,2178
High Iron_C,163:10:00,2337
High Iron_D,163:10:00,751
Stagnant_A,163:10:00,1524
Stagnant_B,163:10:00,1447
Stagnant_C,163:10:00,1796
Stagnant_D,163:10:00,1235
No Vit.Min._A,163:10:00,2527
No Vit.Min._B,163:10:00,2771
No Vit.Min._C,163:10:00,2505
No Vit.Min._D,163:10:00,337
