name ,Hrs of samples ,CO2_ppm,skip
Control_D,115:10:00,355,
pH 6_A,115:10:00,1839,
pH 6_B,115:10:00,1430,
pH 6_C,115:10:00,1508,
pH 6_D,115:10:00,622,
pH 7.4_A,115:10:00,643,
pH 7.4_B,115:10:00,709,
pH 7.4_C,115:10:00,595,
pH 7.4_D,115:10:00,406,
15C_A,115:10:00,889,
15C_B,115:10:00,911,
15C_C,115:10:00,802,
15C_D,115:10:00,351,
30C_A,115:10:00,837,
30C_B,115:10:00,795,
30C_C,115:10:00,875,
30C_D,115:10:00,401,
High Iron_A,115:10:00,706,
High Iron_B,115:10:00,820,
High Iron_C,115:10:00,636,
High Iron_D,115:10:00,311,
Stagnant_A,115:10:00,988,
Stagnant_B,115:10:00,926,
Stagnant_C,115:10:00,856,
Stagnant_D,115:10:00,305,
No Vit.Min._A,115:10:00,1667,
No Vit.Min._B,115:10:00,964,
No Vit.Min._C,115:10:00,850,
No Vit.Min._D,115:10:00,469,
Control_A,139:10:00,1310,
Control_B,139:10:00,1190,
Control_C,139:10:00,1332,
Control_D,139:10:00,360,
pH 6_A,139:10:00,1464,
pH 6_B,139:10:00,1194,
pH 6_C,139:10:00,1292,
pH 6_D,139:10:00,632,
pH 7.4_A,139:10:00,1498,
pH 7.4_B,139:10:00,692,
pH 7.4_C,139:10:00,632,
pH 7.4_D,139:10:00,436,
15C_A,139:10:00,1930,
15C_B,139:10:00,998,
15C_C,139:10:00,857,
15C_D,139:10:00,606,
30C_A,139:10:00,808,
30C_B,139:10:00,761,
30C_C,139:10:00,889,
30C_D,139:10:00,419,
High Iron_A,139:10:00,782,
High Iron_B,139:10:00,797,
High Iron_C,139:10:00,695,
High Iron_D,139:10:00,305,
Stagnant_A,139:10:00,1080,
Stagnant_B,139:10:00,933,
Stagnant_C,139:10:00,851,
Stagnant_D,139:10:00,306,
No Vit.Min._A,139:10:00,1726,
No Vit.Min._B,139:10:00,973,
No Vit.Min._C,139:10:00,887,
No Vit.Min._D,139:10:00,485,
Control_A,163:10:00,2944,skip
Control_B,163:10:00,1128,
Control_C,163:10:00,1196,
Control_D,163:10:00,393,
pH 6_A,163:10:00,955,
pH 6_B,163:10:00,735,
pH 6_C,163:10:00,768,
pH 6_D,163:10:00,633,
pH 7.4_A,163:10:00,722,
pH 7.4_B,163:10:00,422,
pH 7.4_C,163:10:00,434,
pH 7.4_D,163:10:00,444,
15C_A,163:10:00,3289,
15C_B,163:10:00,2000,
15C_C,163:10:00,2333,
15C_D,163:10:00,603,
30C_A,163:10:00,2052,
30C_B,163:10:00,1955,
30C_C,163:10:00,2144,
30C_D,163:10:00,433,
High Iron_A,163:10:00,1324,
High Iron_B,163:10:00,1315,
High Iron_C,163:10:00,1244,
High Iron_D,163:10:00,322,
Stagnant_A,163:10:00,1455,
Stagnant_B,163:10:00,1344,
Stagnant_C,163:10:00,1233,
Stagnant_D,163:10:00,312,
No Vit.Min._A,163:10:00,2234,
No Vit.Min._B,163:10:00,1555,
No Vit.Min._C,163:10:00,1342,
No Vit.Min._D,163:10:00,433,
